#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2020 05 12 05 50 270  8.0 10.0   1.0     5   4.0 158 1003.2   6.7   6.7   5.2   MM -0.9    MM
2020 05 12 04 50 260  9.0 11.0   0.9     6   4.4 139 1003.1   7.4   6.8   5.2   MM -2.1    MM
2020 05 12 03 50 200  4.0  5.0   1.0     5   4.3 158 1003.7   7.3   7.0   7.1   MM -1.6    MM
2020 05 12 02 50 190  6.0  7.0   0.9     5   4.3 158 1004.1   7.6   7.1   7.1   MM -1.6    MM
2020 05 12 01 50 180  4.0  5.0   0.9     5   4.4 157 1005.2   7.4   7.1   7.3   MM -0.9    MM
2020 05 12 00 50 200  4.0  5.0   0.8     5   4.2 168 1005.3   7.9   7.2   7.1   MM -0.8    MM
2020 05 11 23 50 170  6.0  7.0   0.8     5   4.2 169 1005.7   8.0   7.1   7.7   MM -1.0    MM
2020 05 11 22 50 150  4.0  5.0   0.9     4   4.1 176 1006.1   7.9   7.2   7.4   MM -1.4    MM
2020 05 11 21 50 170  7.0  9.0   0.9     4   4.0 172 1006.1   8.3   7.3   7.3   MM -2.9    MM
2020 05 11 20 50 170  6.0  7.0   0.8     6   4.0 154 1006.7   8.7   7.3   7.2   MM -2.8    MM
2020 05 11 19 50 160  5.0  6.0   0.7     7   4.1 147 1007.5   8.1   7.1   6.8   MM -2.5    MM
2020 05 11 18 50 170  5.0  7.0   0.7     7   4.7 158 1009.0   7.9   7.0   6.8   MM -1.8    MM
2020 05 11 17 50 160  4.0  5.0   0.8     8   5.0 146 1009.5   7.7   7.1   6.7   MM -1.8    MM
2020 05 11 16 50 170  4.0  5.0   0.8     8   4.7 155 1010.0   7.6   7.1   6.3   MM -1.7    MM
2020 05 11 15 50 180  6.0  7.0   0.8     7   4.7 159 1010.8   7.8   7.2   4.9   MM -1.4    MM
2020 05 11 14 50 190  4.0  4.0   0.8     8   4.9 153 1011.3   7.3   7.0   5.1   MM -0.9    MM
2020 05 11 13 50 190  4.0  4.0   0.8     8   4.8 148 1011.7   7.1   6.8   4.7   MM -0.3    MM
2020 05 11 12 50 190  2.0  3.0   0.7     7   4.7 158 1012.2   6.9   6.5   4.8   MM +0.9    MM
2020 05 11 11 50 230  3.0  4.0   0.7     8   5.0 130 1012.2   6.8   6.0   4.5   MM +1.3    MM
2020 05 11 10 50 230  5.0  6.0   0.7     8   4.9 128 1012.0   6.9   6.0   4.3   MM +1.0    MM
2020 05 11 09 50 220  6.0  7.0   0.7     8   4.6 131 1011.3   7.0   6.0   3.9   MM -0.0    MM
2020 05 11 08 50 220  6.0  7.0   0.7     7   5.3 149 1010.9   7.1   6.0   3.9   MM +0.0    MM
2020 05 11 07 50 220  5.0  6.0   0.7     8   5.5 142 1011.0   7.1   6.3   4.3   MM +0.0    MM
2020 05 11 06 50 240  4.0  5.0   0.7     8   5.0 143 1011.1   7.6   6.3   3.8   MM +0.6    MM
2020 05 11 05 50 240  5.0  6.0   0.6     9   4.4 144 1011.0   7.8   6.3   3.7   MM +0.7    MM
2020 05 11 04 50 250  7.0  8.0   0.7     8   4.1 133 1010.8   8.3   6.4   3.1   MM +0.4    MM
2020 05 11 03 50 260  8.0 10.0   0.8     9   4.0 136 1010.5   8.8   6.4   2.9   MM +0.8    MM
2020 05 11 02 50 260 12.0 15.0   0.8     4   3.8 196 1010.3   9.4   6.5   2.7   MM +1.2    MM
2020 05 11 01 50 270 10.0 13.0   0.8     4   3.9 194 1010.4  10.2   6.5   0.8   MM +1.5    MM
2020 05 11 00 50 260  9.0 10.0   0.7     5   4.3 180 1009.7   9.9   6.6   1.1   MM +0.6    MM
2020 05 10 23 50 250  4.0  4.0   0.8     9   4.6 145 1009.1   9.6   6.5   0.9   MM +0.0    MM
2020 05 10 22 50 260  6.0  7.0   0.8     5   4.5 182 1008.9  10.1   6.0  -0.2   MM -0.3    MM
2020 05 10 21 50 280  7.0 10.0   0.8     5   4.0 185 1009.1  10.5   5.9  -2.3   MM -0.5    MM
2020 05 10 20 50 280  8.0 10.0   0.9     5   3.8 179 1009.1   9.6   6.0  -1.5   MM -0.8    MM
2020 05 10 19 50 260  8.0 10.0   0.8     6   4.1 177 1009.2   8.8   5.9  -1.6   MM -0.7    MM
2020 05 10 18 50 260  8.0 10.0   0.9     6   4.0 172 1009.6   8.1   6.0  -2.2   MM -0.8    MM
2020 05 10 17 50 270  9.0 11.0   0.8     5   3.6 189 1009.9   7.8   5.9  -2.8   MM -0.5    MM
2020 05 10 16 50 270 10.0 12.0   0.7     3   3.7 250 1009.9   7.5   5.8  -3.4   MM -0.8    MM
2020 05 10 15 50 260  8.0 10.0   0.7     3   3.5 236 1010.4   7.0   5.8  -4.7   MM -0.4    MM
2020 05 10 14 50 270  9.0 12.0   0.7    11   3.6  60 1010.4   6.1   5.8  -5.7   MM -0.6    MM
2020 05 10 13 50 270 10.0 13.0   0.8    11   4.1 109 1010.7   5.5   5.7  -5.0   MM +0.0    MM
2020 05 10 12 50 270  9.0 11.0   0.8    11   4.2 101 1010.8   4.7   5.8  -4.3   MM +0.7    MM
2020 05 10 11 50 240  8.0 10.0   0.9     5   4.1 203 1011.0   3.7   5.7  -3.3   MM +1.5    MM
2020 05 10 10 50 250  9.0 10.0   0.9    11   4.2 137 1010.7   3.3   5.3  -3.8   MM +1.9    MM
2020 05 10 09 50 240  8.0  9.0   0.9     4   4.2 209 1010.1   3.0   5.3  -4.2   MM +2.2    MM
2020 05 10 08 50 260 10.0 11.0   1.0    11   4.1 140 1009.5   3.7   5.3  -4.6   MM +2.1    MM
2020 05 10 07 50 270 10.0 11.0   1.0    11   4.1 113 1008.8   3.4   5.4  -4.0   MM +2.3    MM
2020 05 10 06 50 270 11.0 14.0   0.9     4   3.8 235 1007.9   3.2   5.6  -3.2   MM +1.9    MM
2020 05 10 05 50 270 10.0 13.0   0.9     4   3.8 225 1007.4   3.3   5.9  -3.2   MM +1.8    MM
2020 05 10 04 50 270 12.0 15.0   1.1     4   3.8 232 1006.5   3.2   6.0  -2.7   MM +1.4    MM
2020 05 10 03 50 270 12.0 14.0   0.9     4   3.8 246 1006.0   3.2   6.0  -3.7   MM +1.5    MM
2020 05 10 02 50 270 13.0 15.0   0.8     4   3.6 239 1005.6   3.3   6.1  -4.1   MM +2.5    MM
2020 05 10 01 50 260 11.0 13.0   0.7     3   3.5 247 1005.1   4.0   6.2  -5.4   MM +3.1    MM
2020 05 10 00 50 270 11.0 13.0   0.9     4   3.5 235 1004.5   4.0   6.2  -6.0   MM +3.4    MM
2020 05 09 23 50 280 13.0 16.0   1.0     4   3.5 256 1003.1   4.4   6.3  -6.6   MM +3.0    MM
2020 05 09 22 50 270 13.0 16.0   1.0     4   3.6 249 1002.0   4.8   6.5  -6.8   MM +2.8    MM
2020 05 09 21 50 280 13.0 18.0   0.9     4   3.4 249 1001.1   4.7   6.6  -7.4   MM +2.6    MM
2020 05 09 20 50 280 14.0 18.0   1.0     4   3.5 251 1000.1   4.7   6.6  -8.0   MM +2.4    MM
2020 05 09 19 50 280 14.0 18.0   1.1     4   3.6 254  999.2   4.9   6.7  -6.3   MM +2.1    MM
2020 05 09 18 50 290 14.0 18.0   1.0     4   3.5 262  998.5   4.5   6.6  -6.2   MM +2.1    MM
2020 05 09 17 50 290 14.0 19.0   1.2     4   3.8 263  997.7   4.2   6.7  -4.9   MM +2.5    MM
2020 05 09 16 50 300 13.0 16.0   0.9     4   3.4 292  997.1   3.7   6.7  -3.2   MM +2.8    MM
2020 05 09 15 50 280 12.0 14.0   1.0     3   3.5 305  996.4   2.4   6.6   0.1   MM +2.7    MM
2020 05 09 14 50 300 13.0 17.0   0.9     3   3.4 311  995.2   1.5   6.6   0.9   MM +1.2    MM
2020 05 09 13 50 310 11.0 14.0   0.9     3   3.4 338  994.3   2.0   6.6   1.1   MM -0.0    MM
2020 05 09 12 50 320 11.0 13.0   0.9     3   3.4 357  993.7   2.5   6.8   1.1   MM -0.8    MM
2020 05 09 11 50 340 11.0 14.0   0.9     3   3.4  14  994.0   2.4   7.0   1.4   MM -0.9    MM
2020 05 09 10 50 340 11.0 13.0    MM    MM    MM  MM  994.2   2.3   7.2   1.6   MM -1.5    MM
2020 05 09 09 50  10  9.0 10.0   0.7     4   3.9 128  994.5   3.8   7.6   2.3   MM -2.6    MM
2020 05 09 08 50  70  5.0  5.0   0.7     5   4.0 181  994.9   5.6   7.7   3.4   MM -3.7    MM
2020 05 09 07 50 110  4.0  7.0   0.7     4   4.2 179  995.7   5.8   7.9   4.2   MM -4.2    MM
2020 05 09 06 50  80  5.0  6.0   0.8     5   4.3 177  997.1   5.9   7.9   4.8   MM -4.0    MM
2020 05 09 05 50 130  6.0  6.0   0.9     5   4.4 169  998.6   6.1   7.9   4.0   MM -3.9    MM
2020 05 09 04 50 150  6.0  7.0   1.2     5   4.4 194  999.9   5.9   7.8   3.9   MM -3.4    MM
2020 05 09 03 50 150  7.0  9.0   1.3     6   4.6 197 1001.1   6.3   7.7   5.3   MM -2.6    MM
2020 05 09 02 50 170  8.0 11.0   1.9     6   4.8 172 1002.5   6.8   7.7   5.5   MM -0.7    MM
2020 05 09 01 50 180 12.0 14.0   1.6     5   4.5 190 1003.3   7.3   7.5   4.6   MM +0.0    MM
2020 05 09 00 50 210 12.0 14.0   1.4     5   4.2 192 1003.7   7.8   7.6   4.6   MM -0.0    MM
2020 05 08 23 50 200 11.0 13.0   1.2     4   3.9 188 1003.2   8.8   7.7   3.5   MM -1.3    MM
2020 05 08 22 50 190 10.0 12.0   0.9     4   3.8 178 1003.4   9.5   7.7   3.0   MM -1.3    MM
2020 05 08 21 50 190  8.0 10.0   0.8     8   3.7  83 1003.8   9.2   7.7   3.7   MM -1.1    MM
2020 05 08 20 50 180  5.0  7.0   0.7     8   3.8 109 1004.5   9.3   7.9   3.8   MM -0.8    MM
2020 05 08 19 50 180  5.0  7.0   0.6     9   3.8 141 1004.7  10.2   8.0   1.4   MM -1.0    MM
2020 05 08 18 50 270  5.0  6.0   0.7     9   4.0 111 1004.9  11.3   8.0  -2.7   MM -1.4    MM
2020 05 08 17 50 210  4.0  6.0   0.7     9   4.2  91 1005.3   9.7   7.8   0.3   MM -1.3    MM
2020 05 08 16 50 250  6.0  7.0   0.7     8   4.6  89 1005.7   9.8   7.6  -1.3   MM -1.1    MM
2020 05 08 15 50 240  5.0  6.0   0.8     7   4.6  99 1006.3   9.0   7.5  -0.8   MM -1.0    MM
2020 05 08 14 50 250  6.0  7.0   0.9     7   4.6  98 1006.6   8.4   7.4  -0.8   MM +0.0    MM
2020 05 08 13 50 270  7.0  9.0   0.8     8   4.4 105 1006.8   7.8   7.2  -0.8   MM +0.6    MM
2020 05 08 12 50 250  7.0  9.0   0.7     8   4.5 115 1007.3   6.8   7.1  -1.4   MM +2.2    MM
2020 05 08 11 50 250  7.0  9.0   0.7     8   4.4 112 1006.7   6.2   7.1   0.0   MM +2.5    MM
2020 05 08 10 50 270  8.0  9.0   0.6     8   4.5 110 1006.2   6.2   7.1   0.3   MM +3.4    MM
2020 05 08 09 50 280  8.0  9.0   0.7     8   4.3 116 1005.1   6.8   7.3   1.3   MM +3.0    MM
2020 05 08 08 50 290  8.0  9.0   0.8     4   3.6 180 1004.2   7.3   7.7   2.1   MM +1.7    MM
2020 05 08 07 50 270 10.0 14.0   0.7     8   3.7 112 1002.8  10.1   8.0   3.1   MM -0.0    MM
2020 05 08 06 50 240  8.0  9.0   0.7     4   4.0 170 1002.1  10.4   8.2   3.2   MM -0.8    MM
2020 05 08 05 50 220  5.0  7.0   0.6     4   4.2 173 1002.5   9.5   8.3   4.1   MM -0.7    MM
2020 05 08 04 50 250  7.0  8.0   0.7     4   3.9 192 1002.9  10.0   8.4   4.3   MM -0.9    MM
2020 05 08 03 50 200  6.0  7.0   0.7     4   3.6 171 1002.9   8.9   8.5   7.0   MM -1.4    MM
2020 05 08 02 50 190  7.0  9.0   0.6     3   3.4 202 1003.2   9.3   8.0   5.8   MM -0.9    MM
2020 05 08 01 50 190  7.0  8.0   0.6     3   3.2 175 1003.8   9.1   8.0   4.8   MM +0.0    MM
2020 05 08 00 50 190  6.0  7.0   0.6     3   3.2 195 1004.3   8.8   8.0   5.1   MM +0.6    MM
2020 05 07 23 50 200  7.0  8.0   0.6     3   3.1 168 1004.1   8.9   8.0   4.2   MM +0.7    MM
2020 05 07 22 50 200  6.0  7.0   0.5     3   3.1 170 1003.8   8.5   8.2   6.1   MM +0.8    MM
2020 05 07 21 50 190  6.0  8.0   0.6     3   3.0 165 1003.7   8.2   8.3   6.1   MM +0.5    MM
